Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Principio activo (product.metafields.shopify.active-ingredient),Grupo de edad (product.metafields.shopify.age-group),Contenido de “”Alcohol/Disolvente” (product.metafields.shopify.alcohol-solvent-content),Aceite base (product.metafields.shopify.base-oil),Área del cuerpo (product.metafields.shopify.body-area),Tipo de vela (product.metafields.shopify.candle-type),Color (product.metafields.shopify.color-pattern),Ingredientes constitutivos (product.metafields.shopify.constitutive-ingredients),Función cosmética (product.metafields.shopify.cosmetic-function),Tipo de agente exfoliante (product.metafields.shopify.exfoliating-agent-type),Acabado (product.metafields.shopify.finish),Fragancia (product.metafields.shopify.fragrance),Formato de set de regalo (product.metafields.shopify.gift-set-format),Función de calor (product.metafields.shopify.heat-function),Estilo de porta incienso (product.metafields.shopify.incense-holder-style),Tipo de incienso (product.metafields.shopify.incense-type),Ingredientes (product.metafields.shopify.ingredients),Técnica de masaje (product.metafields.shopify.massage-technique),Material (product.metafields.shopify.material),Ocasión (product.metafields.shopify.occasion),Tipo de embalaje (product.metafields.shopify.package-type),Certificaciones y estándares del producto (product.metafields.shopify.product-certifications-standards),Forma del producto (product.metafields.shopify.product-form),Aroma (product.metafields.shopify.scent),Estación (product.metafields.shopify.season),Forma (product.metafields.shopify.shape),Efecto del cuidado de la piel (product.metafields.shopify.skin-care-effect),Adecuado para tipo de piel (product.metafields.shopify.suitable-for-skin-type),Espacio adecuado (product.metafields.shopify.suitable-space),Sexo objetivo (product.metafields.shopify.target-gender),Textura (product.metafields.shopify.texture),Tema (product.metafields.shopify.theme),Tipo de uso (product.metafields.shopify.usage-type),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
velas-de-soja-premium-ceremonia-de-magas,Velas de Soja Premium - Ceremonia de Magas - Aquí & Ahora,"<div class=""pz-product-copy"">
  <p><strong>Velas de Soja Premium - Ceremonia de Magas - Aquí &amp; Ahora</strong> ✨ Una vela pensada para transformar una pausa cotidiana en un ritual sensorial lleno de intencion. Mantiene el look and feel de Portal Zen, con una experiencia aromatica calida, estetica y envolvente que acompana distintos estados emocionales segun la variante elegida.</p>
  <p>Ideal para encender al final del dia, durante una practica de autocuidado o cuando quieres darle al espacio una atmosfera mas intima y especial.</p>
  <ul>
    <li>
<strong>Contenido:</strong> esotérico exclusivo</li>
    <li>
<strong>Duracion estimada:</strong> 45 horas aprox</li>
  </ul>
  <p><strong>Detalles del producto</strong></p>
  <ul>
    <li>Incluye caja : 8,5 x 9,5 cm</li>
  </ul>
  <h3>LA FUERZA - FUEGO - Tonka &amp; Cedro</h3>
  <p><strong>LA FUERZA</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Tonka &amp; Cedro.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Tonka &amp; Cedro</li>
  </ul>
  <h3>LA EMPERATRIZ - TIERRA - Higo &amp; Sándalo</h3>
  <p><strong>LA EMPERATRIZ</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Higo &amp; Sándalo.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Higo &amp; Sándalo</li>
  </ul>
  <h3>LA JUSTICIA - AIRE - Peonías e Hibiscus</h3>
  <p><strong>LA JUSTICIA</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Peonías e Hibiscus.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Peonías e Hibiscus</li>
  </ul>
  <h3>LA LUNA - AGUA - Lima &amp; Ozono</h3>
  <p><strong>LA LUNA</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Lima &amp; Ozono.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Lima &amp; Ozono</li>
  </ul>
</div>",Aqui & Ahora,Home & Garden > Decor > Home Fragrances > Candles,Vela,"armonía, aromas, aromaterapia, bienestar, decoracion, espiritualidad, hogar, limpieza energetica",true,MODELOS,LA FUERZA - FUEGO - Tonka & Cedro,,,,,,,,'5700001,0.0,shopify,18,deny,manual,18990,0,true,true,,,,,'7798344772259,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumAGUA.jpg?v=1769710059,1,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,false,Velas de Soja - Ceremonia de Magas - Aquí & Ahora | Portal Zen,"Luz cálida y fragancia para tu ritual diario con notas de lima, sándalo, higo. Incluye. Descúbrelo en Portal Zen.",588.0,,,,,,,,,,,,'1,,,,,,recipiente,animal; negro; purpura; marron; verde; azul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumFUEGO.jpg?v=1769710059,kg,,,true,,,active
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,LA EMPERATRIZ - TIERRA - Higo & Sándalo,,,,,,,,'5700002,0.0,shopify,7,deny,manual,18990,0,true,true,,,,,'7798344772266,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumAIRE.jpg?v=1769710059,2,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumTIERRA.jpg?v=1769710059,kg,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,LA JUSTICIA - AIRE - Peonías e Hibiscus,,,,,,,,'5700003,0.0,shopify,9,deny,manual,18990,0,true,true,,,,,'7798344772273,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumFUEGO.jpg?v=1769710059,3,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumAIRE.jpg?v=1769710059,kg,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,LA LUNA - AGUA - Lima & Ozono,,,,,,,,'5700004,0.0,shopify,11,deny,manual,18990,0,true,true,,,,,'7798344772280,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumTIERRA.jpg?v=1769710059,4,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelaPremiumAGUA.jpg?v=1769710059,kg,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/VelasPremiumTodas_FotoSetting.jpg?v=1769710059,5,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/FUEGO-CeremoniadeMagas-PRODUCTOS.jpg?v=1755538716,6,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/AIRE-CeremoniadeMagas-PRODUCTOS.jpg?v=1755538716,7,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/TIERRA-CeremoniadeMagas-PRODUCTOS.jpg?v=1755538716,8,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velas-de-soja-premium-ceremonia-de-magas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/AGUA-CeremoniadeMagas-PRODUCTOS_720e384b-8664-4bb8-95d6-e8d1cc172dea.jpg?v=1755538717,9,Velas de Soja PREMIUM - Ceremonia de Magas - Aqui&Ahora.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vela-de-vidrio-alchemy,Velas de Soja Alchemy - Aquí & Ahora,"<div class=""pz-product-copy"">
  <p><strong>Velas de Soja Alchemy - Aquí &amp; Ahora</strong> ✨ Una vela pensada para transformar una pausa cotidiana en un ritual sensorial lleno de intencion. Mantiene el look and feel de Portal Zen, con una experiencia aromatica calida, estetica y envolvente que acompana distintos estados emocionales segun la variante elegida.</p>
  <p>Ideal para encender al final del dia, durante una practica de autocuidado o cuando quieres darle al espacio una atmosfera mas intima y especial.</p>
  <ul>
    <li>
<strong>Contenido:</strong> 170 g</li>
    <li>
<strong>Duracion estimada:</strong> aprox. 40 horas</li>
  </ul>
  <p><strong>Detalles del producto</strong></p>
  <ul>
    <li>Material: Cera de soja 100 % natural</li>
  </ul>
  <h3>SAGE LEAVES - Salvia &amp; Tonka</h3>
  <p><strong>SAGE LEAVES</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Salvia &amp; Tonka.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Salvia &amp; Tonka</li>
  </ul>
  <h3>MANDARIN RIND - Mandarina &amp; Cedro</h3>
  <p><strong>MANDARIN RIND</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Mandarina &amp; Cedro.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Mandarina &amp; Cedro</li>
  </ul>
  <h3>AMARANTH SEEDS - Amaranto &amp; Sándalo</h3>
  <p><strong>AMARANTH SEEDS</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Amaranto &amp; Sándalo.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Amaranto &amp; Sándalo</li>
  </ul>
  <h3>ZINC CORIANDER - Vetiver &amp; Coriandro</h3>
  <p><strong>ZINC CORIANDER</strong> ✨ Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</p>
  <p>Muy buena opcion cuando buscas un aroma con presencia, intencion y una estetica sensorial cuidada. Su perfil aromatico se expresa con notas de Vetiver &amp; Coriandro.</p>
  <ul>
    <li>
<strong>Beneficio emocional:</strong> Aporta una personalidad aromatica propia para que puedas elegir segun la emocion, el espacio o el momento que quieras acompanar.</li>
    <li>
<strong>Aroma protagonista:</strong> Vetiver &amp; Coriandro</li>
  </ul>
</div>",Aqui & Ahora,Home & Garden > Decor > Home Fragrances > Candles,Vela,"armonía, aromas, aromaterapia, bienestar, decoracion, espiritualidad, hogar, limpieza energetica",true,MODELOS,SAGE LEAVES - Salvia & Tonka,,,,,,,,'5760001,0.0,shopify,31,deny,manual,9594,15990,true,true,,,,,'7798344772341,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/Alchemy-MandarinRind_d00e7394-e023-4fd4-863b-4ee178de8036.jpg?v=1769710117,1,Velas de Soja Alchemy - Aqui&Ahora.,false,Velas de Soja Alchemy - Aquí & Ahora | vela aromática Portal Zen,"Luz cálida y fragancia para tu ritual diario con notas de rosas, sándalo, cedro. Contenido: 170 g. Descúbrelo en Portal Zen.",588.0,,,,,,,,,,,,,,,,,,recipiente,clara; amarillo; blanco; beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/5620/1002/files/Alchemy-SageLeaves_ade729ae-2fea-4c73-99a7-f97301e05cea.jpg?v=1769710117,kg,,,true,,,active
